year,Anthropogenic_tropospheric_aerosol,Greenhouse_gases,Land_use,Orbital_changes,Ozone,Solar,Volcanic
1850,287.4258914,287.4170002,287.4503501,287.4429368,287.4506446,287.4503501,287.446649
1851,287.4464021,287.3992596,287.3944527,287.4508249,287.4076458,287.434744,287.4582593
1852,287.498657,287.4156057,287.48275,287.4531176,287.4474671,287.4663089,287.5605417
1853,287.4173252,287.4332169,287.5098935,287.4682051,287.4753664,287.4552964,287.5342994
1854,287.4245418,287.4205891,287.4457737,287.4865902,287.4541918,287.4362326,287.5524403
1855,287.4707822,287.412502,287.4550514,287.4525694,287.4552146,287.427143,287.4809462
1856,287.4349405,287.393908,287.458382,287.4860007,287.4649964,287.3992434,287.4404668
1857,287.4771479,287.4186057,287.420343,287.4533903,287.4454183,287.4698101,287.3593959
1858,287.4708739,287.4020922,287.3966323,287.4629028,287.4465992,287.4526428,287.362504
1859,287.4413521,287.3997061,287.4414563,287.4633138,287.4804298,287.4673102,287.4367925
1860,287.4055949,287.4377288,287.4144425,287.4306843,287.4676012,287.4480732,287.4643309
1861,287.4077027,287.4373603,287.4338996,287.4587689,287.4421444,287.4731085,287.5097177
1862,287.496557,287.3899216,287.4287608,287.4470393,287.43183,287.4457509,287.4814836
1863,287.3803529,287.4238094,287.4451978,287.4788822,287.4900775,287.4100642,287.4279495
1864,287.415572,287.4178992,287.5133854,287.4212593,287.4582064,287.4116019,287.4795705
1865,287.4280714,287.4023049,287.4356595,287.4342195,287.4665847,287.418473,287.499936
1866,287.4243787,287.4106199,287.4870183,287.4279035,287.4677318,287.4269237,287.4904884
1867,287.4723748,287.4122274,287.4605629,287.4100364,287.4087665,287.3824624,287.4958535
1868,287.4443488,287.4005293,287.4091364,287.4315068,287.4037546,287.3754297,287.5248268
1869,287.4025764,287.4354144,287.4342172,287.4345162,287.441308,287.3894422,287.510094
1870,287.3957513,287.4598339,287.4395401,287.4222496,287.4963321,287.4381522,287.4951591
1871,287.4386872,287.4459244,287.4547036,287.4130773,287.4551828,287.4040917,287.4630058
1872,287.4199873,287.449245,287.5065978,287.4995834,287.4133534,287.4241053,287.4884331
1873,287.4264966,287.4132561,287.4761073,287.4412795,287.4125093,287.4129019,287.5030527
1874,287.4488503,287.4852301,287.4466334,287.4257174,287.4699333,287.438179,287.449862
1875,287.3938974,287.4902977,287.4304168,287.4622881,287.4747987,287.4366761,287.5016618
1876,287.410966,287.4416612,287.4241695,287.4557872,287.3909556,287.4081579,287.4962677
1877,287.449853,287.4415443,287.4575353,287.4377139,287.4318444,287.3994835,287.5054279
1878,287.4469504,287.4572961,287.4399691,287.4336779,287.4015068,287.3630558,287.4541312
1879,287.4091184,287.4595505,287.4568025,287.443424,287.4306261,287.403483,287.4052495
1880,287.3627998,287.505983,287.4574722,287.4333069,287.4003873,287.3992015,287.4407844
1881,287.4274853,287.4923243,287.4045563,287.4071775,287.395704,287.4171823,287.4708549
1882,287.4203781,287.4528977,287.4380768,287.4248835,287.3864733,287.4478705,287.4680167
1883,287.4490323,287.5001915,287.4576053,287.4234407,287.3990287,287.4353421,287.4026555
1884,287.3731199,287.4879753,287.4402696,287.4441164,287.3959911,287.474246,287.0703867
1885,287.3849582,287.4754009,287.4892503,287.4176693,287.4131911,287.5321225,287.0698061
